Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,46.61000061035156,46.779998779296875,46.150001525878906,46.18000030517578,40.58162307739258,568800
2015-01-02,46.25,46.25,45.15999984741211,45.599998474121094,40.07193374633789,637400
2015-01-05,45.2599983215332,45.540000915527344,44.63999938964844,44.91999816894531,39.474369049072266,551000
2015-01-06,45.119998931884766,45.54999923706055,44.650001525878906,45.2599983215332,39.773155212402344,1188300
2015-01-07,45.47999954223633,46.09000015258789,45.18000030517578,46.0,40.42344665527344,715900
2015-01-08,46.150001525878906,46.970001220703125,45.970001220703125,46.689998626708984,41.02978515625,1048500
2015-01-09,46.70000076293945,46.900001525878906,46.4900016784668,46.709999084472656,41.047367095947266,555100
2015-01-12,46.63999938964844,47.040000915527344,46.41999816894531,46.68000030517578,41.02100372314453,722700
2015-01-13,47.0,47.709999084472656,46.34000015258789,46.779998779296875,41.108882904052734,580500
2015-01-14,46.279998779296875,46.70000076293945,46.0099983215332,46.38999938964844,40.76615524291992,424500
2015-01-15,46.529998779296875,46.689998626708984,45.84000015258789,45.939998626708984,40.37071228027344,612100
2015-01-16,45.90999984741211,46.790000915527344,45.81999969482422,46.7599983215332,41.091304779052734,309300
2015-01-20,46.84000015258789,46.9900016784668,46.04999923706055,46.5,40.862823486328125,371300
2015-01-21,46.47999954223633,46.79999923706055,46.029998779296875,46.54999923706055,40.90675735473633,478300
2015-01-22,46.93000030517578,47.4900016784668,46.400001525878906,47.470001220703125,41.71522903442383,645300
2015-01-23,47.459999084472656,47.75,47.20000076293945,47.63999938964844,41.8646240234375,481300
2015-01-26,47.560001373291016,48.54999923706055,47.43000030517578,48.5099983215332,42.62915802001953,743700
2015-01-27,48.189998626708984,48.38999938964844,47.959999084472656,48.16999816894531,42.330379486083984,591000
2015-01-28,48.61000061035156,48.70000076293945,47.70000076293945,47.79999923706055,42.00522994995117,783100
2015-01-29,48.59000015258789,48.9900016784668,47.869998931884766,48.41999816894531,42.55006408691406,754400
2015-01-30,48.27000045776367,48.470001220703125,47.88999938964844,47.9900016784668,42.17220687866211,754900
2015-02-02,48.150001525878906,48.52000045776367,47.209999084472656,48.470001220703125,42.5940055847168,606300
2015-02-03,48.790000915527344,49.38999938964844,48.689998626708984,49.33000183105469,43.34975051879883,900000
2015-02-04,49.189998626708984,49.720001220703125,49.13999938964844,49.400001525878906,43.4112663269043,933700
2015-02-05,50.310001373291016,50.970001220703125,49.470001220703125,50.91999816894531,44.746986389160156,825700
2015-02-06,50.45000076293945,51.38999938964844,50.25,51.38999938964844,45.15999984741211,1163900
2015-02-09,51.06999969482422,51.279998779296875,50.709999084472656,50.95000076293945,44.773345947265625,1453500
2015-02-10,51.15999984741211,52.02000045776367,50.90999984741211,51.810001373291016,45.52910614013672,1045300
2015-02-11,51.83000183105469,51.97999954223633,51.52000045776367,51.779998779296875,45.50272750854492,871500
2015-02-12,52.060001373291016,52.939998626708984,52.060001373291016,52.880001068115234,46.469390869140625,730200
2015-02-13,52.83000183105469,52.9900016784668,52.06999969482422,52.59000015258789,46.21453857421875,1156900
2015-02-17,52.599998474121094,53.08000183105469,52.4900016784668,52.529998779296875,46.16181182861328,961800
2015-02-18,52.540000915527344,53.0099983215332,52.45000076293945,52.970001220703125,46.54847717285156,1064300
2015-02-19,52.970001220703125,53.04999923706055,52.790000915527344,52.900001525878906,46.48695755004883,596900
2015-02-20,52.81999969482422,53.86000061035156,52.689998626708984,53.810001373291016,47.28662872314453,734500
2015-02-23,53.75,53.84000015258789,53.279998779296875,53.540000915527344,47.04937744140625,555100
2015-02-24,53.4900016784668,53.83000183105469,53.400001525878906,53.599998474121094,47.10209655761719,543400
2015-02-25,53.470001220703125,53.970001220703125,53.470001220703125,53.7599983215332,47.24270248413086,510200
2015-02-26,53.7599983215332,53.95000076293945,53.11000061035156,53.130001068115234,46.68907928466797,1016500
